school,roll,teachers,regn,region,stu/staff,Island
Bay of Islands College,632.00,42.10,1.00,Northland,15.01,North I
Bream Bay College,466.00,32.50,1.00,Northland,14.34,North I
Broadwood Area School,193.00,15.40,1.00,Northland,12.53,North I
Dargaville High School,593.00,38.80,1.00,Northland,15.28,North I
Kaitaia College,884.00,56.30,1.00,Northland,15.70,North I
Kamo High School,933.00,55.60,1.00,Northland,16.78,North I
Kerikeri High School,849.00,53.00,1.00,Northland,16.02,North I
Mangakahia Area School,219.00,16.60,1.00,Northland,13.19,North I
Northland College,597.00,41.40,1.00,Northland,14.42,North I
Okaihau College,391.00,28.80,1.00,Northland,13.58,North I
Opononi Area School,355.00,24.40,1.00,Northland,14.55,North I
Otamatea High School,332.00,28.70,1.00,Northland,11.57,North I
Pompallier College,441.00,28.30,1.00,Northland,15.58,North I
Ruawain College,224.00,21.90,1.00,Northland,10.23,North I
Taipa Area School,528.00,34.30,1.00,Northland,15.39,North I
Tauraroa Area School,347.00,22.30,1.00,Northland,15.56,North I
Te Kao Area School,81.00,9.40,1.00,Northland,8.62,North I
Te Kuran - O Panguru,151.00,15.90,1.00,Northland,9.50,North I
Tikipunga High School,712.00,49.40,1.00,Northland,14.41,North I
Whangarei Boys' High,755.00,52.80,1.00,Northland,14.30,North I
Whangarei Girls' High,992.00,60.40,1.00,Northland,16.42,North I
Whangaroa College,245.00,21.10,1.00,Northland,11.61,North I
Aorere College,1039.00,64.10,2.00,Auckland,16.21,North I
Auckland Girls' Grammar,1148.00,67.80,2.00,Auckland,16.93,North I
Auckland Grammar,1904.00,109.10,2.00,Auckland,17.45,North I
Auckland Metropolitan,131.00,10.50,2.00,Auckland,12.48,North I
Auckland Seventh-Day,144.00,12.60,2.00,Auckland,11.43,North I
Baradene College,720.00,38.80,2.00,Auckland,18.56,North I
Birkenhead College,714.00,44.40,2.00,Auckland,16.08,North I
Carmel College,774.00,43.00,2.00,Auckland,18.00,North I
De La Salle College,802.00,48.30,2.00,Auckland,16.60,North I
Edgewater College,963.00,54.30,2.00,Auckland,17.73,North I
Epsom Girls' Grammar,1629.00,92.30,2.00,Auckland,17.65,North I
Glendowie College,727.00,44.70,2.00,Auckland,16.26,North I
Glenfield College,1162.00,71.80,2.00,Auckland,16.18,North I
Green Bay High School,583.00,46.60,2.00,Auckland,12.51,North I
Hato Petera College,173.00,15.70,2.00,Auckland,11.02,North I
Henderson High School,684.00,47.30,2.00,Auckland,14.46,North I
Hillary College,532.00,51.50,2.00,Auckland,10.33,North I
Howick College,1579.00,91.30,2.00,Auckland,17.29,North I
James Cook High School,1387.00,87.60,2.00,Auckland,15.83,North I
Kaipara College,481.00,31.60,2.00,Auckland,15.22,North I
Kelston Boys' High School,1139.00,74.20,2.00,Auckland,15.35,North I
Kelston Girls' High School,886.00,56.50,2.00,Auckland,15.68,North I
Liston College,531.00,32.40,2.00,Auckland,16.39,North I
Long Bay College,939.00,54.80,2.00,Auckland,17.14,North I
Lynfield College,1358.00,80.10,2.00,Auckland,16.95,North I
Macleans College,1374.00,79.90,2.00,Auckland,17.20,North I
Mahurangi College,866.00,49.50,2.00,Auckland,17.49,North I
Mangere College,825.00,55.80,2.00,Auckland,14.78,North I
Manurewa High School,1611.00,91.40,2.00,Auckland,17.63,North I
Marcellin College,447.00,29.90,2.00,Auckland,14.95,North I
Marist Sisters College,508.00,30.80,2.00,Auckland,16.49,North I
Massey High School,1435.00,86.10,2.00,Auckland,16.67,North I
Mcauley High School,557.00,36.00,2.00,Auckland,15.47,North I
Michael Park School,378.00,23.40,2.00,Auckland,16.15,North I
Mt Albert Grammar,1000.00,61.10,2.00,Auckland,16.37,North I
Mt Roskill Grammar,1589.00,102.00,2.00,Auckland,15.58,North I
Nga Tapuwae College,542.00,45.80,2.00,Auckland,11.83,North I
Northcote College,744.00,47.20,2.00,Auckland,15.76,North I
Onehunga High School,1044.00,64.90,2.00,Auckland,16.09,North I
Orewa College,1141.00,65.80,2.00,Auckland,17.34,North I
Otahuhu College,1240.00,79.60,2.00,Auckland,15.58,North I
